Folder,Controller,Start_Modality,Task_1,Task_2,Task_3,Task_4,Task_5
ELBH19-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,NO-VR,155.3916473388672,239.14422607421875,317.3126220703125,520.9937744140625,679.5626220703125
ELBH19-RW-NO-VR-TRIAL-3-ROSBAG,WBC,NO-VR,67.7331771850586,153.4618377685547,167.2696075439453,192.3658142089844,241.0380859375
REKD03-RW-NO-VR-TRIAL-1-ROSBAG,WBC,NO-VR,121.83606719970705,216.076416015625,261.0049133300781,307.6128234863281,336.7810363769531
REKD03-RW-NO-VR-TRIAL-2-ROSBAG,WBC,NO-VR,67.5968246459961,135.5730438232422,173.5732421875,201.7254638671875,239.1335906982422
SASD12-RW-WITH-VR-TRIAL-3-ROSBAG,WBC,NO-VR,81.6969985961914,282.657958984375,327.3861389160156,385.4185180664063,421.8430786132813
SASD12-RW-NO-VR-TRIAL-2-ROSBAG,WBC,NO-VR,91.41780090332033,155.1376953125,192.79364013671875,205.0977478027344,229.91390991210935
SASD12-RW-WITH-VR-TRIAL-1-ROSBAG,WBC,NO-VR,83.55302429199219,182.54568481445312,231.04188537597656,276.2582092285156,377.7629089355469
SASD12-RW-NO-VR-TRIAL-3-ROSBAG,WBC,NO-VR,80.97824096679688,139.47451782226562,197.55470275878903,242.49888610839844,280.6991577148437
SASD12-RW-WITH-VR-TRIAL-2-ROSBAG,WBC,NO-VR,103.48020935058594,218.2409210205078,266.633056640625,298.3612976074219,394.3620300292969
SASD12-RW-NO-VR-TRIAL-1-ROSBAG,WBC,NO-VR,81.69302368164062,308.4291076660156,332.97320556640625,365.9812927246094,432.565673828125
