,Time,data,data_numeric
664,1732617613.979719,Head Camera,2
665,1732617614.2625723,Head Camera,2
666,1732617614.352105,Head Camera,2
667,1732617614.4248,Head Camera,2
668,1732617614.6079926,Head Camera,2
669,1732617614.829594,Head Camera,2
670,1732617615.2631376,Head Camera,2
671,1732617615.37915,Head Camera,2
672,1732617615.481814,Head Camera,2
673,1732617615.552811,Head Camera,2
674,1732617615.6196098,Head Camera,2
675,1732617616.1985722,Head Camera,2
676,1732617616.2752,Head Camera,2
677,1732617616.391373,Head Camera,2
678,1732617616.450729,Head Camera,2
679,1732617616.5054183,Head Camera,2
680,1732617617.0675046,Head Camera,2
681,1732617617.1284466,Head Camera,2
682,1732617617.215961,Head Camera,2
683,1732617617.4396973,Head Camera,2
684,1732617617.5360663,Head Camera,2
685,1732617617.9312055,Head Camera,2
686,1732617618.0407493,Head Camera,2
687,1732617618.0969536,Head Camera,2
688,1732617618.225275,Head Camera,2
689,1732617618.3068511,Head Camera,2
690,1732617618.6330636,Head Camera,2
691,1732617618.756207,Head Camera,2
692,1732617618.8190787,Head Camera,2
693,1732617618.8906677,Head Camera,2
694,1732617619.0310764,Head Camera,2
695,1732617619.3714356,Head Camera,2
696,1732617619.446586,Head Camera,2
697,1732617619.5427742,Head Camera,2
698,1732617619.7421849,Head Camera,2
699,1732617619.875678,Head Camera,2
700,1732617620.0902324,Head Camera,2
701,1732617620.2738194,Head Camera,2
702,1732617620.3594208,Head Camera,2
703,1732617620.5371342,Head Camera,2
704,1732617620.6086905,Head Camera,2
705,1732617620.8294356,Head Camera,2
706,1732617620.895242,Head Camera,2
707,1732617621.0702522,Head Camera,2
708,1732617621.1385608,Head Camera,2
709,1732617621.335356,Head Camera,2
710,1732617621.546149,Head Camera,2
711,1732617621.7314413,Head Camera,2
712,1732617621.93067,Head Camera,2
713,1732617622.00687,Head Camera,2
714,1732617622.1957831,Head Camera,2
715,1732617622.39002,Head Camera,2
716,1732617622.47633,Head Camera,2
717,1732617622.5503511,Head Camera,2
718,1732617622.7947192,Head Camera,2
719,1732617622.8960314,Head Camera,2
